"Code","Credit","Debit"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","1,000.00"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","308.82"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","923.96"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","10,707.22"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","300.16"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","8,031.84"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","150.08"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","4,015.92"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","300.16"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","8,031.84"
"1101100503 Cash in Bank - Banco De Oro-Cabanatuan South-OTC","0.00","500.00"
"1101100520 Cash in Bank - Banco De Oro-Cabanatuan Sanciangco-OTC","0.00","6,312.00"
"1101100522 Cash in Bank - Banco De Oro-Cabanatuan South-PDC","11,158.27","0.00"
"1101100522 Cash in Bank - Banco De Oro-Cabanatuan South-PDC","3,181.07","0.00"
"1101100522 Cash in Bank - Banco De Oro-Cabanatuan South-PDC","53.66","0.00"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","2,000.00"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","20.00"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","5,541.48"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","941.23"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","2,597.29"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","3,000.00"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","20.00"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","8,499.65"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","17,505.25"
"1101100523 Cash in Bank - Banco De Oro-Cabanatuan South-Deposit Referencing","0.00","18,975.10"
"1101100703 Cash in Bank - Metrobank-Angeles-PDC","0.00","1,000.00"
"1101100703 Cash in Bank - Metrobank-Angeles-PDC","0.00","87.51"
"1101100703 Cash in Bank - Metrobank-Angeles-PDC","0.00","6,422.16"
"1101100703 Cash in Bank - Metrobank-Angeles-PDC","0.00","5,617.33"
"1101100710 Cash in Bank - Metrobank-Cabanatuan South-Bills Payment","0.00","50.00"
"1101100710 Cash in Bank - Metrobank-Cabanatuan South-Bills Payment","0.00","58.04"
"1101100710 Cash in Bank - Metrobank-Cabanatuan South-Bills Payment","0.00","1,324.40"
"1101100710 Cash in Bank - Metrobank-Cabanatuan South-Bills Payment","0.00","3,522.56"
"1207700000 Loans Receivable (non-Current)","256,645.89","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","256,645.89"
"1207700000 Loans Receivable (non-Current)","71,176.67","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","71,176.67"
"1207700000 Loans Receivable (non-Current)","941.23","0.00"
"1207700000 Loans Receivable (non-Current)","2,597.29","0.00"
"1207700000 Loans Receivable (non-Current)","68,579.38","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","68,579.38"
"1207700000 Loans Receivable (non-Current)","6,422.16","0.00"
"1207700000 Loans Receivable (non-Current)","5,617.33","0.00"
"1207700000 Loans Receivable (non-Current)","1,324.40","0.00"
"1207700000 Loans Receivable (non-Current)","3,522.56","0.00"
"1207700000 Loans Receivable (non-Current)","256,645.89","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","256,645.89"
"1207700000 Loans Receivable (non-Current)","0.00","11,158.27"
"1207700000 Loans Receivable (non-Current)","0.00","3,181.07"
"1207700000 Loans Receivable (non-Current)","923.96","0.00"
"1207700000 Loans Receivable (non-Current)","10,707.22","0.00"
"1207700000 Loans Receivable (non-Current)","300.16","0.00"
"1207700000 Loans Receivable (non-Current)","8,031.84","0.00"
"1207700000 Loans Receivable (non-Current)","150.08","0.00"
"1207700000 Loans Receivable (non-Current)","4,015.92","0.00"
"1207700000 Loans Receivable (non-Current)","300.16","0.00"
"1207700000 Loans Receivable (non-Current)","8,031.84","0.00"
"1207700000 Loans Receivable (non-Current)","4,754.54","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","4,754.54"
"1207700000 Loans Receivable (non-Current)","4,754.54","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","4,754.54"
"1207700000 Loans Receivable (non-Current)","275,620.99","0.00"
"1207700000 Loans Receivable (non-Current)","0.00","275,620.99"
"1207700000 Loans Receivable (non-Current)","17,505.25","0.00"
"1207700000 Loans Receivable (non-Current)","18,975.10","0.00"
"2110002000 Other Liabilities-Accounts Payable(Generic)","6,312.00","0.00"
"2205500000 Unearned Interest (Non-Current)","70,237.08","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","70,237.08"
"2205500000 Unearned Interest (Non-Current)","8,000.43","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","8,000.43"
"2205500000 Unearned Interest (Non-Current)","7,059.20","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","7,059.20"
"2205500000 Unearned Interest (Non-Current)","70,237.08","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","70,237.08"
"2205500000 Unearned Interest (Non-Current)","128.64","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","128.64"
"2205500000 Unearned Interest (Non-Current)","128.64","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","128.64"
"2205500000 Unearned Interest (Non-Current)","87,742.33","0.00"
"2205500000 Unearned Interest (Non-Current)","0.00","87,742.33"
"2205500000 Unearned Interest (Non-Current)","0.00","5,186.74"
"4100000000 Earned Interest","5,186.74","0.00"
"4300000000 Interest on Pastdue Loan","5,541.48","0.00"
"4300000000 Interest on Pastdue Loan","87.51","0.00"
"4300000000 Interest on Pastdue Loan","58.04","0.00"
"4300000000 Interest on Pastdue Loan","0.00","53.66"
"4300000000 Interest on Pastdue Loan","308.82","0.00"
"4300000000 Interest on Pastdue Loan","500.00","0.00"
"4300000000 Interest on Pastdue Loan","8,499.65","0.00"
"4803300000 Other Income - Bank Charges","20.00","0.00"
"4803300000 Other Income - Bank Charges","50.00","0.00"
"4803300000 Other Income - Bank Charges","20.00","0.00"
"4805900000 Other Income - Collection","2,000.00","0.00"
"4805900000 Other Income - Collection","1,000.00","0.00"
"4805900000 Other Income - Collection","1,000.00","0.00"
"4805900000 Other Income - Collection","3,000.00","0.00"